 Time (days),LWP,stom_conduct,rsoil,rplant
201.17,-.5681029,1.7083161,.0000000,873816064.0000000
201.18,-.5556021,1.7092783,.0000000,873816064.0000000
201.19,-.5439450,1.7098891,.0000000,873816064.0000000
201.20,-.5330734,1.7106280,.0000000,873816064.0000000
201.21,-.5229356,1.7103817,.0000000,873816064.0000000
201.22,-.5156219,5.8144383,.0000000,873816064.0000000
201.23,-.5094775,9.9141159,.0000000,873816064.0000000
201.24,-.5078810,12.1284142,.0000000,873816064.0000000
201.25,-.5073338,12.5301085,.0000000,873816064.0000000
201.26,-.5100286,15.8958588,.0000000,873816064.0000000
201.27,-.6015178,124.3484039,.0000000,873816064.0000000
201.28,-.7240486,152.9800262,.0000000,873816064.0000000
201.29,-.8617395,176.6283112,.0000000,873816064.0000000
201.30,-1.0126078,193.4692230,.0000000,873816064.0000000
201.31,-1.1744189,207.7877960,.0000000,873816064.0000000
201.32,-1.3666029,221.7381439,.0000000,873816064.0000000
201.33,-1.5806346,233.1672821,.0000000,873816064.0000000
201.34,-1.8354065,247.1239014,.0000000,873816064.0000000
201.35,-2.1177664,257.5610657,.0000000,873816064.0000000
201.36,-2.4073641,264.3927917,.0000000,873816064.0000000
201.38,-2.4972856,142.6608582,.0000000,873816064.0000000
201.39,-2.4967334,86.3160858,.0000000,873816064.0000000
201.40,-2.4966178,83.1529388,.0000000,873816064.0000000
201.41,-2.4965150,79.9091721,.0000000,873816064.0000000
201.42,-2.4965124,79.7366791,.0000000,873816064.0000000
201.43,-2.4961617,73.3501129,.0000000,873816064.0000000
201.44,-2.4957569,67.0541382,.0000000,873816064.0000000
201.45,-2.4953575,61.7830887,.0000000,873816064.0000000
201.46,-2.4951158,57.5357552,.0000000,873816064.0000000
201.47,-2.4946918,54.6166191,.0000000,873816064.0000000
201.48,-2.4946148,53.1468315,.0000000,873816064.0000000
201.49,-2.4942136,49.7232094,.0000000,873816064.0000000
201.50,-2.4942865,50.2660255,.0000000,873816064.0000000
201.51,-2.4936404,46.0611076,.0000000,873816064.0000000
201.52,-2.4935114,45.3010826,.0000000,873816064.0000000
201.53,-2.4930811,42.2948418,.0000000,873816064.0000000
201.54,-2.4924204,38.9806023,.0000000,873816064.0000000
