 Time (days),soilR,soilR1,soilR2,CSR(1),CSR(2),CSR(3),CSR(4),CSR(5)
3.55,5635.5810547,Inf,Inf,28.0678577,28.0678577,28.0678577,28.0678577,28.0678577
3.56,5635.5810547,Inf,Inf,28.0679417,28.0679417,28.0679417,28.0679417,28.0679417
3.57,5635.5810547,Inf,Inf,28.0680218,28.0680218,28.0680218,28.0680218,28.0680218
3.58,5635.5810547,Inf,Inf,28.0680981,28.0680981,28.0680981,28.0680981,28.0680981
3.59,5635.5815430,Inf,Inf,28.0681820,28.0681820,28.0681820,28.0681820,28.0681820
3.60,5635.5815430,Inf,Inf,28.0682621,28.0682621,28.0682621,28.0682621,28.0682621
3.61,5635.5815430,Inf,Inf,28.0683384,28.0683384,28.0683384,28.0683384,28.0683384
3.62,5635.5815430,Inf,Inf,28.0684109,28.0684109,28.0684109,28.0684109,28.0684109
3.64,5635.5815430,Inf,Inf,28.0684814,28.0684814,28.0684814,28.0684814,28.0684814
3.65,5635.5820312,Inf,Inf,28.0685463,28.0685463,28.0685463,28.0685463,28.0685463
3.66,5635.5820312,Inf,Inf,28.0685997,28.0685997,28.0685997,28.0685997,28.0685997
3.67,5635.5820312,Inf,Inf,28.0686054,28.0686054,28.0686054,28.0686054,28.0686054
3.68,5635.5820312,Inf,Inf,28.0686054,28.0686054,28.0686054,28.0686054,28.0686054
3.69,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.70,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.71,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.72,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.73,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.74,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.75,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.76,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.77,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.78,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.79,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.80,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.81,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.82,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.83,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.84,5635.5820312,Inf,Inf,28.0686092,28.0686092,28.0686092,28.0686092,28.0686092
3.85,5635.5820312,Inf,Inf,28.0686111,28.0686111,28.0686111,28.0686111,28.0686111
3.86,5635.5820312,Inf,Inf,28.0686111,28.0686111,28.0686111,28.0686111,28.0686111
3.88,5635.5820312,Inf,Inf,28.0686111,28.0686111,28.0686111,28.0686111,28.0686111
3.89,5635.5820312,Inf,Inf,28.0686111,28.0686111,28.0686111,28.0686111,28.0686111
3.90,5635.5820312,Inf,Inf,28.0686111,28.0686111,28.0686111,28.0686111,28.0686111
3.91,5635.5820312,Inf,Inf,28.0686111,28.0686111,28.0686111,28.0686111,28.0686111
