"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.00126,1.635,98.97,-1.995,0.338
1.001783,1.753,81.94,-1.87,0.543
1.00071,2.509,102.99,-1.877,0.39
1.001489,1.398,93.4,-2.265,0.48
1.001524,1.942,81.9,-1.78,0.329
1.001763,1.529,36.99,-1.671,0.729
1.001062,1.394,46.12,-2.014,0.565
1.001406,2.834,101.04,-1.551,0.649
1.001029,1.445,66.8,-2.099,0.58
1.001131,1.284,83.52,-2.374,0.322
1.001675,1.923,54.24,-1.506,0.776
1.000857,1.776,91.76,-2.155,0.308
1.00051,1.796,96.03,-1.899,0.314
1.001077,3.519,96.78,-1.709,0.349
1.00095,2.771,92.95,-1.632,0.538
1.000603,2.303,100.55,-1.554,0.826
1.001216,3.256,93.33,-1.605,0.307
1.000727,2.077,100.7,-2.053,0.358
1.001386,1.624,87.83,-2.134,0.35
1.001569,1.749,83.61,-1.662,0.368
1.000915,3.126,91.49,-1.628,0.442
1.00139,1.623,47.42,-1.662,0.839
1.000784,2.678,90.75,-1.841,0.315
1.000765,3.68,85.99,-1.594,0.323
1.001057,1.447,88.91,-2.288,0.303
1.001425,1.578,83.28,-1.915,0.323
1.000699,3.687,102.13,-1.648,0.305
1.002047,1.602,65.5,-1.814,0.55
1.000776,2.286,52.36,-1.531,0.444
1.000772,1.531,53.21,-2.046,0.355
1.001183,1.807,96.8,-2.104,0.474
1.001104,3.141,86.9,-1.648,0.398
1.001715,1.291,73.12,-2.196,0.552
1.000597,1.339,89.4,-1.595,0.41
1.001713,2.449,94.46,-1.611,0.382
1.001963,1.301,60.97,-1.957,0.777
1.00167,1.397,68.36,-2.13,0.475
1.0021,1.649,98.04,-1.888,0.61
1.001705,2.465,96.52,-1.558,0.718
1.001076,3.444,97.06,-1.722,0.364
1.000762,1.82,71.33,-1.942,0.425
1.000723,1.665,71.89,-1.762,0.857
1.000599,2.863,101.75,-1.78,0.335
1.001233,2.568,90.94,-1.855,0.3
1.000534,1.592,71.82,-2.055,0.345
1.002374,1.385,69.27,-1.795,0.587
1.000546,1.8,51.35,-1.645,0.525
1.000845,1.755,77.94,-1.76,0.846
1.002138,1.292,65.99,-1.506,0.631
1.002133,1.882,38.12,-1.512,0.456
1.002036,1.815,57.01,-1.531,0.36
1.00105,2.979,93.76,-1.732,0.413
1.000573,1.748,71.28,-1.991,0.329
1.0011,3.26,74.02,-1.573,0.356
1.001232,1.756,90.62,-2.132,0.429
1.000512,1.711,82.34,-2.014,0.302
1.001616,1.72,103.49,-1.939,0.744
1.001395,1.263,102.43,-2.436,0.593
1.002545,1.748,98.88,-1.563,0.809
1.002469,1.869,85.47,-1.525,0.656
1.000567,1.503,85.68,-2.134,0.501
1.001317,3.52,101.71,-1.622,0.457
1.001887,1.363,37.2,-1.957,0.423
1.002402,1.41,88.8,-1.833,0.753
1.001328,2.71,100.09,-1.876,0.341
1.001166,1.35,86.62,-2.249,0.702
1.000626,1.437,53.09,-1.991,0.502
1.000913,1.586,35.56,-1.667,0.786
1.001185,2.447,81.56,-1.886,0.301
1.000505,1.634,52.69,-1.607,0.864
1.001674,2.059,57.99,-1.715,0.38
1.000622,2.41,95.01,-1.868,0.376
1.000607,1.906,94.83,-1.917,0.543
1.002253,1.577,87.23,-1.767,0.528
1.000528,1.528,39.8,-1.635,0.841
1.000544,1.279,93.02,-2.399,0.462
1.001248,1.718,43.94,-1.766,0.532
1.001623,3.287,103.76,-1.537,0.37
1.001516,3.382,92.32,-1.626,0.39
1.002105,2.134,96.08,-1.648,0.469
1.000934,2.576,96.4,-1.816,0.465
1.001561,2.963,89.6,-1.585,0.327
1.000975,1.9,79.9,-1.789,0.703
1.000582,1.545,104.36,-1.985,0.877
1.001474,1.319,79.89,-1.999,0.328
1.000579,1.606,73.32,-1.575,0.301
1.000864,1.969,89.13,-1.984,0.481
1.001156,1.689,52.96,-1.791,0.645
1.001197,3.314,84.99,-1.508,0.497
1.001855,1.356,45.79,-1.888,0.741
1.001361,2.316,101.49,-1.908,0.317
1.002308,2.084,100.33,-1.527,0.867
1.00171,2.418,63.38,-1.586,0.429
1.001937,2.292,64.57,-1.61,0.379
1.001013,1.341,84.74,-2.161,0.864
1.002099,1.574,67.19,-1.894,0.452
1.000826,2.212,66.27,-1.756,0.407
1.000654,3.356,88.96,-1.685,0.312
1.001114,2.772,94.8,-1.651,0.568
1.001201,1.902,96.27,-2.147,0.389
1.000535,2.681,86.08,-1.699,0.35
1.001555,1.254,83.25,-1.695,0.451
1.002041,2.372,103.88,-1.714,0.527
1.002076,1.368,62.5,-1.902,0.788
1.000899,2.154,86.64,-1.774,0.603
1.000828,1.491,103.97,-2.416,0.452
1.002594,1.4,58.54,-1.567,0.623
1.001589,1.729,57.92,-1.869,0.485
1.001737,2.194,72.64,-1.649,0.561
1.002488,1.661,55.36,-1.587,0.49
1.000651,3.356,78.99,-1.552,0.357
1.002243,1.592,93.03,-1.889,0.648
1.001386,1.469,73.19,-2.007,0.768
1.001057,1.294,40.48,-2.019,0.757
1.001226,2.165,101.84,-2.085,0.309
1.000645,1.564,51.9,-1.88,0.525
1.000526,1.348,43.2,-1.827,0.86
1.002476,1.377,48.97,-1.795,0.52
1.000862,2.533,85.79,-1.809,0.419
1.000968,2.229,99.72,-1.506,0.348
1.000719,2.214,97.83,-2.03,0.38
1.001569,1.362,93.84,-2.36,0.422
1.002056,2.532,71.31,-1.526,0.373
1.000609,3.162,103.22,-1.818,0.318
1.001461,2.377,47.33,-1.518,0.433
1.000605,1.871,84,-1.555,0.307
1.002176,1.718,69.39,-1.53,0.427
1.001699,1.447,103.65,-2.094,0.834
1.001747,1.287,72.87,-2.226,0.343
1.00051,1.598,86.82,-1.538,0.355
1.000964,3.301,81.83,-1.545,0.458
1.000962,2.639,74.78,-1.513,0.612
1.000664,1.691,83.83,-2.081,0.472
1.000989,1.821,76.17,-1.927,0.569
1.001445,2.074,69.49,-1.876,0.385
1.00086,3.408,63.65,-1.52,0.316
1.001459,1.397,100.11,-2.405,0.408
1.000565,1.465,103.15,-2.402,0.357
1.002367,1.859,103.03,-1.536,0.579
1.002043,2.461,94.92,-1.703,0.441
1.001182,1.593,68,-2.22,0.336
1.00213,1.768,65.35,-1.793,0.381
1.000637,1.484,92.71,-2.064,0.794
1.001343,1.854,80.08,-1.978,0.515
1.001828,2.753,96.25,-1.727,0.422
1.002285,2.411,77.75,-1.528,0.493
1.001722,1.719,86.88,-1.597,0.393
1.002079,1.804,74.91,-1.732,0.684
1.000589,1.316,98.07,-1.699,0.384
1.000564,1.415,91.51,-2.383,0.306
1.000957,2.028,75.98,-1.803,0.579
1.000695,2.261,100.83,-1.809,0.594
1.002769,1.456,68.95,-1.604,0.741
1.000582,2.354,88.27,-1.908,0.335
1.001396,1.329,95.89,-2.393,0.612
1.002147,1.649,95.72,-1.973,0.477
1.00149,2.033,103.28,-1.793,0.339
1.000726,3.582,97.78,-1.616,0.445
1.00136,3.466,62.72,-1.514,0.315
1.001199,2.11,83.6,-1.987,0.416
1.000981,1.888,61.26,-1.806,0.539
1.000777,2.032,50.81,-1.547,0.652
1.001201,2.179,39.76,-1.654,0.325
1.001745,1.554,74.88,-1.962,0.697
1.00143,1.766,96.61,-2.219,0.381
1.001248,1.31,80.21,-1.726,0.354
1.001386,2.085,64.83,-1.913,0.329
1.000853,2.033,56.64,-1.596,0.662
1.001405,2.568,85.55,-1.532,0.726
1.001379,1.515,87.02,-2.339,0.381
1.002305,1.398,60.48,-1.869,0.748
